НПО
Количество зарегистрированных НПО (по данным минюста)
Регион	2020 	2021 	2022	2023 	2024 	2025
Казахстан			21 413	23 335	22 227	23 194
область Абай				574	493	522
Акмолинская область			640	712	623	1295
Актюбинская область			742	862	843	811
Алматинская область			1053	669	681	860
Атырауская область			660	730	738	743
Жамбылская область			868	1080	987	1052
область Жетісу			 	671	587	582
Западно-Казахстанская область			642	701	673	675
Карагандинская область			1321	1237	1 258	1283
Костанайская область			737	774	761	748
Кызылординская область			837	1217	1 074	1146
Мангистауская область			787	934	923	957
Павлодарская область			801	869	761	841
Северо-Казахстанская область			482	507	452	514
Туркестанская область			694	721	775	810
область ?лытау				277	339	279
Восточно-Казахстанская область			1130	1080	981	821
г.Астана			3143	3554	3 541	3513
г.Алматы			4064	5017	4 254	4259
г.Шымкент			1102	1512	1 492	1483

Количество действующих НПО 
Регион	2020 	2021 	2022	2023 	2024 	2025
Казахстан					17 964	18 000                                                                                                                                                                          
область Абай					170	450
Акмолинская область					561	1001
Актюбинская область					630	672
Алматинская область					561	207
Атырауская область					672	303
Жамбылская область					664	1001
область Жетісу					431	442
Западно-Казахстанская область					591	597
Карагандинская область					923	1201
Костанайская область					691	743
Кызылординская область					964	1100
Мангистауская область					860	655
Павлодарская область					589	400
Северо-Казахстанская область					319	403
Туркестанская область					604	726
область ?лытау					154	         200
Восточно-Казахстанская область					842	216
г.Астана					2945	2945
г.Алматы					3383	3456
г.Шымкент					1282	1282


КОЛИЧЕСТВО СОТРУДНИКОВ НПО (ШТАТНЫХ РАБОТНИКОВ, ПО ДАННЫМ БНС)
Регион	2020 	2021 	2022	2023 	2024 	2025
Казахстан	42 328	46 052	48 120	49 495	42 328	
область Абай						
Акмолинская область						
Актюбинская область						
Алматинская область						
Атырауская область						
Жамбылская область						
область Жетісу						
Западно-Казахстанская область						
Карагандинская область						
Костанайская область						
Кызылординская область						
Мангистауская область						
Павлодарская область						
Северо-Казахстанская область						
Туркестанская область						
область ?лытау						
Восточно-Казахстанская область						
г.Астана						
г.Алматы						
г.Шымкент						

Количество проектов в рамках госзаказа, направленного на поддержку НПО по Республике Казахстан
Регион	2020 	2021 	2022	2023 	2024 	2025
Казахстан	1656 проектов	1795 проектов	1698 проектов	2091 проектов	2191 проектов	2237
проектов
область Абай	0	0	0	43	33	31
Акмолинская область	104	109	75	110	127	105
Актюбинская область	76	99	78	94	89	85
Алматинская область	99	92	57	77	75	82
Атырауская область	40	61	45	70	71	101
Жамбылская область	114	154	123	143	118	60
область Жетісу	0	0	51	74	83	91
Западно-Казахстанская область	147	144	130	163	162	190
Карагандинская область	178	186	153	116	122	161
Костанайская область	243	272	287	309	283	249
Кызылординская область	131	106	106	137	147	144
Мангистауская область	40	36	35	47	42	87
Павлодарская область	118	101	108	123	152	122
Северо-Казахстанская область	78	110	95	103	134	131
Туркестанская область	83	106	90	74	99	96
область ?лытау	0	0	71	171	163	224
Восточно-Казахстанская область	71	68	42	55	33	67
г.Астана	29	17	42	49	49	42
г.Алматы	57	57	94	106	131	143
г.Шымкент	28	62	60	70	28	18

Объем средств, выделенных в рамках госзаказа и направленных на поддержку НПО по Республике Казахстан (млн.)
Регион	2020 	2021 	2022	2023 	2024 	2025
Казахстан	15 038,0 	14 652,0 	16 902,5 	26 833,8	33 776,8	37 794,2 
область Абай	0	0	0	476,9	303,8	2864,5 
Акмолинская область	481,1	620,0	469,4	761,4	959,8	720,2
Актюбинская область	958,3	759,0	995,7	1337,2	2313,1	2154,8
Алматинская область	241,2	199,2	197,5	969,1	952,2	1011,1
Атырауская область	636,8	688,4	718,0	987,9	1809,5	1855,6
Жамбылская область	982,6	762,7	863,2	1158,8	1071,8	289,2
область Жетісу	0	0	197,2	1382,9	1105,9	1296,2
Западно-Казахстанская область	1100,8	735,0	827,3	1055,0	1098,8	930,8
Карагандинская область	5963,3	3609,3	4255,0	1180,7	1433,2	1891,9
Костанайская область	424,3	570,3	749,6	2694,3	3152,4	1357,8
Кызылординская область	789,9	607,1	637,4	984,4	1104,8	1021,0
Мангистауская область	147,8	147,1	140,0	389,6	348,5	1112,1
Павлодарская область	698,9	1741,3	504,2	3490,0	4943,7	4369,2
